target;quantidade
Abolivei75;1
ActuFoot_;1
adrianomelgaco;1
Adriantpi;1
AdriDricaDidica;1
afreitascamara;1
agencialupa;1
AgnaldoSantos26;1
AgoraNoticiasBr;1
aguinaldaosilva;1
ainnmendes;1
albert_nycolas;1
alberto_medrado;1
albertoxfs;1
AlexanderTecn;1
AlexCamposJBFM;1
Alkurabrasil2;1
alle_sci;1
almaniea3;1
alvxaro;1
amirsomoggi;1
AnaclaraMoraesz;1
Ancelmocom;1
andregalvaofer;1
Andreicrf06;1
antoniotabet;1
ApenasFlamengo1;1
arecobarudino;1
ArnaldoJRibeiro;1
Arthur_CRF;1
ArturoDomingoR;1
audiobiografia;1
AumirDa;1
Balboa_CRF;1
bandjogoaberto;1
Barbara_jc;1
Barrros_guii;1
BasePalmeiras;1
bianquinhahCRF;1
biavillar4;1
blckjoy_;1
blogdopannunzio;1
BlogDoPim;1
BlogPageNFound;1
bmouraa27;1
bonde_doale;1
BotafogoTR;1
branquelacamps;1
BraveTricolor;1
brhmaga;1
BrunaGutierrez_;1
Brunakarla_29;1
Bruno__FFC;1
brunoalexjj;1
BrunoFerrer97;1
brunomassa;1
BrxndLuiiz;1
bytauan;1
cabelinfe;1
Cabral1957Paulo;1
cabralkit;1
Cabussu;1
cafezincombolo;1
caio_delon;1
camillasntns;1
camilocoelho;1
Canal_11Oficial;1
CantosFlamengo;1
CarcaraNet;1
carlitasFLA;1
CarlosA22680189;1
Carol2004a;1
carolquerido_;1
Caroolsilva151;1
Cartman_CRF;1
castadeli_lucas;1
CBF_Futebol;1
Ccamsx_;1
cec_falando;1
celoflapoa;1
ChelseafcDepre;1
cherokeeromes;1
chicogarciaa;1
Christiano1914;1
cissabs;1
CleberBuneko;1
Colfoibg;1
colunadofla2;1
ComentCrakNeto;1
CorajeCorazonBR;1
crf_gabriel81;1
crf_raamos;1
crfandnjr;1
crfmattos;1
crfpinheiro;1
crfsilva_;1
CRIASDANORTE;1
crvgebe;1
cthaisepxt;1
cutimusic;1
dadonardi;1
DAnderson008;1
danielcosta41;1
Danielpodcast81;1
danilada81;1
DanSilva1914;1
davidbarbosajr;1
Davidmello__;1
davizinhopsl;1
deGaulledaPaz;1
Deinha78;1
delmirojunior;1
DemocraciaReina;1
Denilson_mengao;1
DeporFinanzas;1
desimpedidos;1
desolaoficial;1
desporquito;1
devoleaonline;1
df_porto;1
dicodusport;1
diegoflamengofs;1
diegopaulvaa;1
Digaocaramelo;1
DiogoMedeiros87;1
DirceuTavares16;1
directfutbolec;1
djmangueira;1
djyurichagas;1
doidao_galo;1
DouglasFerrrei5;1
DPeconick;1
drewfamosinho;1
durte_matheus;1
eatjaredtweets;1
eddy_crf;1
edilsonjj8;1
eduardagansou;1
edugoldenberg;1
ehcixx;1
EiFSoccer;1
Eintracht_por;1
ElBlogdBoca;1
eltoncesara;1
Emicidarlan;1
entrelinhasdoj1;1
eotaldomax;1
ErickTph33;1
Erika_Maya1;1
ErrosDosJovens;1
Espiaoverde;1
Esquadraonews88;1
estrela_02;1
eujonielson;1
eumcnaninha;1
eusouvascao;1
FabbioSillva1;1
fabianolvfroede;1
Fabinhoquesada;1
FaixaRosaJacare;1
FavelanhLc_mtb;1
favswarner;1
Fcberik18;1
FDSportsOfc;1
FelipeM38446009;1
felipeneto;1
FeministaNerd;1
ffcisab;1
ffctayna;1
FIFAClubWC2019;1
fifacom_ar;1
filipeduarte88;1
fj82guimaraes;1
FlaButeco_;1
Flaeternamente;1
FlaGarden;1
FlaGuarulhos;1
FlaMandi96;1
Flamengo_paz;1
FlamengoBS2Hub;1
flamengocnf;1
flamengoespanol;1
Flamengolovesa;1
flamengoretro;1
FlaRei_1895;1
flaxiascaxias;1
FluHumor;1
flumifogodagama;1
Flvio65353246;1
footballne24;1
Fpbarbeiro;1
fpc_brazil;1
fpcoliveira;1
framengo1895;1
franciine14;1
fredcaldeira;1
FreeFireMundo;1
fuampeira;1
futeboledetodos;1
FutParodias;1
g_bergms;1
gabrilamorim;1
gallomineiro;1
gbraz99;1
gelonosangue;1
gfrancosan;1
gilsonmanguaca;1
giobittar;1
Giovani78425647;1
globoesp0rtecom;1
GLsoarez;1
GoalBR;1
grupoclanok;1
guardinhaFlaTT;1
GuiBallad;1
guifernandes_94;1
GuilhermeChags3;1
GuiNeto3;1
GuiResende_;1
GulagJoao;1
GustaBasilio07;1
GutoRicart;1
halef_cardosoj;1
hannsandres;1
heldercmartins;1
HenriqueMF;1
Herynho_;1
HistoriaNoPaint;1
HTE__Sports;1
Hugo99_;1
Hyorannn;1
igesporte;1
igofelipe;1
igor_3k;1
ilhadourubufla2;1
infoflaacrf;1
IngriidSantoss0;1
interaceuaberto;1
IorraCRF;1
Irapuan4;1
isafla17;1
itsbiafranca;1
JadeEduarda8;1
javigilnavarro;1
JCooelhoo;1
Jeaan_crf;1
JeanCarlosB13;1
jeffincrf;1
jessicaojm;1
JlioCos26550320;1
JNovaes7;1
Joao_alves_7;1
joaoanttonio99;1
joaovitorxavier;1
JOAQUINTDASILVA;1
Jogo_Extra;1
jogouondejuvena;1
JorgeMoscosoJr;1
jorgenicola;1
jornlucianodias;1
jose_juniorcs;1
joseilan;1
jotalimarj;1
JrColleman;1
juhsoouzs;1
juleno_14;1
JuniiorMorais;1
JuniorCoimbra77;1
juuliojesus;1
kalinaafonso;1
kelleystea;1
kenzera_;1
kimcatedral;1
KimQuaresma;1
klewerlourenco;1
KLEYSON_SAFADEX;1
KleytonRamos17;1
kurtt_cocaine;1
LacerdaLacerd19;1
LaRadioRedonda;1
larepublica_pe;1
laricorrea91;1
